loiczid,lat,lon
67096,43.25,-112.25
67095,43.25,-112.75
66376,43.75,-112.25
66375,43.75,-112.75
67094,43.25,-113.25
67093,43.25,-113.75
66374,43.75,-113.25
66373,43.75,-113.75
67092,43.25,-114.25
67091,43.25,-114.75
66372,43.75,-114.25
66371,43.75,-114.75
65656,44.25,-112.25
65655,44.25,-112.75
64936,44.75,-112.25
64935,44.75,-112.75
65654,44.25,-113.25
65653,44.25,-113.75
64934,44.75,-113.25
64933,44.75,-113.75
65652,44.25,-114.25
65651,44.25,-114.75
64932,44.75,-114.25
64931,44.75,-114.75
71410,40.25,-115.25
71409,40.25,-115.75
70690,40.75,-115.25
70689,40.75,-115.75
71408,40.25,-116.25
71407,40.25,-116.75
70688,40.75,-116.25
70687,40.75,-116.75
71406,40.25,-117.25
71405,40.25,-117.75
70686,40.75,-117.25
70685,40.75,-117.75
71404,40.25,-118.25
71403,40.25,-118.75
70684,40.75,-118.25
70683,40.75,-118.75
71402,40.25,-119.25
71401,40.25,-119.75
70682,40.75,-119.25
70681,40.75,-119.75
69970,41.25,-115.25
69969,41.25,-115.75
69250,41.75,-115.25
69249,41.75,-115.75
69968,41.25,-116.25
69967,41.25,-116.75
69248,41.75,-116.25
69247,41.75,-116.75
69966,41.25,-117.25
69965,41.25,-117.75
69246,41.75,-117.25
69245,41.75,-117.75
69964,41.25,-118.25
69963,41.25,-118.75
69244,41.75,-118.25
69243,41.75,-118.75
69962,41.25,-119.25
69961,41.25,-119.75
69242,41.75,-119.25
69241,41.75,-119.75
68530,42.25,-115.25
68529,42.25,-115.75
67810,42.75,-115.25
67809,42.75,-115.75
68528,42.25,-116.25
68527,42.25,-116.75
67808,42.75,-116.25
67807,42.75,-116.75
68526,42.25,-117.25
68525,42.25,-117.75
67806,42.75,-117.25
67805,42.75,-117.75
68524,42.25,-118.25
68523,42.25,-118.75
67804,42.75,-118.25
67803,42.75,-118.75
68522,42.25,-119.25
68521,42.25,-119.75
67802,42.75,-119.25
67801,42.75,-119.75
67090,43.25,-115.25
67089,43.25,-115.75
66370,43.75,-115.25
66369,43.75,-115.75
67088,43.25,-116.25
67087,43.25,-116.75
66368,43.75,-116.25
66367,43.75,-116.75
67086,43.25,-117.25
67085,43.25,-117.75
66366,43.75,-117.25
66365,43.75,-117.75
67084,43.25,-118.25
67083,43.25,-118.75
66364,43.75,-118.25
66363,43.75,-118.75
67082,43.25,-119.25
67081,43.25,-119.75
66362,43.75,-119.25
66361,43.75,-119.75
65650,44.25,-115.25
65649,44.25,-115.75
64930,44.75,-115.25
64929,44.75,-115.75
65648,44.25,-116.25
65647,44.25,-116.75
64928,44.75,-116.25
64927,44.75,-116.75
65646,44.25,-117.25
65645,44.25,-117.75
64926,44.75,-117.25
64925,44.75,-117.75
65644,44.25,-118.25
65643,44.25,-118.75
64924,44.75,-118.25
64923,44.75,-118.75
65642,44.25,-119.25
65641,44.25,-119.75
64922,44.75,-119.25
64921,44.75,-119.75
71400,40.25,-120.25
71399,40.25,-120.75
70680,40.75,-120.25
70679,40.75,-120.75
71398,40.25,-121.25
71397,40.25,-121.75
70678,40.75,-121.25
70677,40.75,-121.75
71396,40.25,-122.25
71395,40.25,-122.75
70676,40.75,-122.25
70675,40.75,-122.75
71394,40.25,-123.25
71393,40.25,-123.75
70674,40.75,-123.25
70673,40.75,-123.75
71392,40.25,-124.25
71391,40.25,-124.75
70672,40.75,-124.25
70671,40.75,-124.75
69960,41.25,-120.25
69959,41.25,-120.75
69240,41.75,-120.25
69239,41.75,-120.75
69958,41.25,-121.25
69957,41.25,-121.75
69238,41.75,-121.25
69237,41.75,-121.75
69956,41.25,-122.25
69955,41.25,-122.75
69236,41.75,-122.25
69235,41.75,-122.75
69954,41.25,-123.25
69953,41.25,-123.75
69234,41.75,-123.25
69233,41.75,-123.75
69952,41.25,-124.25
69951,41.25,-124.75
69232,41.75,-124.25
69231,41.75,-124.75
68520,42.25,-120.25
68519,42.25,-120.75
67800,42.75,-120.25
67799,42.75,-120.75
68518,42.25,-121.25
68517,42.25,-121.75
67798,42.75,-121.25
67797,42.75,-121.75
68516,42.25,-122.25
68515,42.25,-122.75
67796,42.75,-122.25
67795,42.75,-122.75
68514,42.25,-123.25
68513,42.25,-123.75
67794,42.75,-123.25
67793,42.75,-123.75
68512,42.25,-124.25
68511,42.25,-124.75
67792,42.75,-124.25
67791,42.75,-124.75
67080,43.25,-120.25
67079,43.25,-120.75
66360,43.75,-120.25
66359,43.75,-120.75
67078,43.25,-121.25
67077,43.25,-121.75
66358,43.75,-121.25
66357,43.75,-121.75
67076,43.25,-122.25
67075,43.25,-122.75
66356,43.75,-122.25
66355,43.75,-122.75
67074,43.25,-123.25
67073,43.25,-123.75
66354,43.75,-123.25
66353,43.75,-123.75
67072,43.25,-124.25
67071,43.25,-124.75
66352,43.75,-124.25
66351,43.75,-124.75
65640,44.25,-120.25
65639,44.25,-120.75
64920,44.75,-120.25
64919,44.75,-120.75
65638,44.25,-121.25
65637,44.25,-121.75
64918,44.75,-121.25
64917,44.75,-121.75
65636,44.25,-122.25
65635,44.25,-122.75
64916,44.75,-122.25
64915,44.75,-122.75
65634,44.25,-123.25
65633,44.25,-123.75
64914,44.75,-123.25
64913,44.75,-123.75
65632,44.25,-124.25
65631,44.25,-124.75
64912,44.75,-124.25
64911,44.75,-124.75
71390,40.25,-125.25
71389,40.25,-125.75
70670,40.75,-125.25
70669,40.75,-125.75
69950,41.25,-125.25
69949,41.25,-125.75
69230,41.75,-125.25
69229,41.75,-125.75
68510,42.25,-125.25
68509,42.25,-125.75
67790,42.75,-125.25
67789,42.75,-125.75
67070,43.25,-125.25
67069,43.25,-125.75
66350,43.75,-125.25
66349,43.75,-125.75
65630,44.25,-125.25
65629,44.25,-125.75
64910,44.75,-125.25
64909,44.75,-125.75
